吉祥寺,東京都武蔵野市吉祥寺南町,139.579765,35.703119
渋谷,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871
品川,東京都港区高輪三丁目26-26,139.738999,35.62876
東京,東京都千代田区丸の内一丁目,139.766103,35.681391
田端,東京都北区東田端一丁目17-1,139.761229,35.737781
西日暮里,東京都荒川区西日暮里五丁目22-1,139.766857,35.731954
日暮里,東京都荒川区西日暮里二丁目,139.771287,35.727908
鶯谷,東京都台東区根岸一丁目4-1,139.778015,35.721484
上野,東京都台東区上野七丁目1-1,139.777043,35.71379
御徒町,東京都台東区上野五丁目27,139.774727,35.707282
秋葉原,東京都千代田区外神田一丁目17-6,139.773288,35.698619
神田,東京都千代田区鍛冶町二丁目13-1,139.770641,35.691173
東京,東京都千代田区丸の内一丁目,139.766103,35.681391
有楽町,東京都千代田区有楽町二丁目9-17,139.763806,35.675441
新橋,東京都港区新橋二丁目17,139.758587,35.666195
浜松町,東京都港区海岸一丁目3-1,139.757135,35.655391
田町,東京都港区芝五丁目33-36,139.747575,35.645736
品川,東京都港区高輪三丁目26-26,139.738999,35.62876
池袋,東京都豊島区,139.711086,35.730256
新宿,東京都新宿区新宿三丁目38-1,139.700464,35.689729
渋谷,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871
恵比寿,東京都渋谷区恵比寿南一丁目5-5,139.71007,35.646685
大崎,東京都品川区大崎一丁目21-4,139.728439,35.619772
東京,東京都千代田区丸の内一丁目9-1,139.766103,35.681391
上野,東京都台東区上野七丁目1-1,139.777043,35.71379
池袋,東京都豊島区,139.710678,35.730924
浅草,東京都台東区,139.798214,35.711883
鐘ヶ淵,東京都墨田区墨田5丁目,139.820344,35.733712
池袋,東京都豊島区南池袋一丁目28-2,139.711461,35.72913
ひばりヶ丘,東京都西東京市住吉町三丁目,139.545852,35.751485
小竹向原,東京都練馬区小竹町二丁目16-15,139.678572,35.743803
高田馬場,東京都新宿区高田馬場一丁目35-2,139.703715,35.712677
国分寺,東京都国分寺市本町二丁目1-23,139.480841,35.700123
恋ヶ窪,東京都国分寺市戸倉一丁目1-4,139.463944,35.711385
国分寺,東京都国分寺市本町二丁目1-23,139.479547,35.700836
京成上野,東京都台東区上野公園1-60,139.773571,35.711232
日暮里,東京都荒川区西日暮里二丁目,139.771287,35.727908
青砥,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883
京成高砂,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
青砥,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883
京成高砂,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
京成高砂,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
京成上野,東京都台東区上野公園1-60,139.773571,35.711232
日暮里,東京都荒川区西日暮里二丁目19-1,139.771287,35.727908
青砥,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883
京成高砂,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
新宿,東京都新宿区西新宿一丁目1-4,139.699187,35.690163
幡ヶ谷,東京都渋谷区幡ヶ谷一丁目,139.676183,35.677061
つつじヶ丘,東京都調布市西つつじヶ丘三丁目35-1,139.575103,35.657936
聖蹟桜ヶ丘,東京都多摩市関戸一丁目10-10,139.446979,35.650814
京王よみうりランド,東京都稲城市矢野口,139.517597,35.632934
渋谷,東京都渋谷区道玄坂一丁目4-1,139.700872,35.6587
新線新宿,東京都新宿区西新宿一丁目18,139.698812,35.68869
富士見ヶ丘,東京都杉並区久我山五丁目1番25号,139.607072,35.684805
吉祥寺,東京都武蔵野市吉祥寺南町,139.580306,35.702291
幡ヶ谷,東京都渋谷区幡ヶ谷一丁目,139.676183,35.677061
新宿,東京都新宿区西新宿一丁目1-3,139.699574,35.691435
梅ヶ丘,東京都世田谷区梅丘,139.653628,35.656024
祖師ヶ谷大蔵,東京都世田谷区祖師谷1丁目,139.609659,35.643236
渋谷,東京都渋谷区渋谷二丁目24-1,139.702417,35.659545
目黒,東京都品川区上大崎四丁目2-1,139.7155,35.633272
渋谷,東京都渋谷区道玄坂二丁目1-1,139.702148,35.65802
五反田,東京都品川区東五反田二丁目1-1,139.724175,35.625262
品川,東京都港区高輪三丁目26-26,139.73809,35.628284
羽田空港国際線ターミナル,東京都大田区羽田空港二丁目6番5号,139.768968,35.544676
